"Cannot create an invoice without products.","Cannot create an invoice without products."
"Order invoiced by API notification. Authorization Id: ","Order invoiced by API notification. Authorization Id: "
"Select the taxvat attribute","Select the taxvat attribute"
"There isn't invoice to refund on order ","There isn't invoice to refund on order "
"Sync Picpay Transaction","Sync Picpay Transaction"
"Are you sure you want to Sync Picpay Transaction?","Are you sure you want to Sync Picpay Transaction?"
"Order canceled with success at Picpay.","Order canceled with success at Picpay."
"Error while try refund order. ","Error while try refund order. "
"Unable to process refund payment. Contact Us.","Unable to process refund payment. Contact Us."
"Invalid payment url","Invalid payment url"
"Enable","Enable"
"Title","Title"
"Checkout Mode","Checkout Mode"
"Iframe width on iframe Mode","Iframe width on iframe Mode"
"Iframe height on iframe Mode","Iframe height on iframe Mode"
"Iframe callback message after paid","Iframe callback message after paid"
"Qrcode width on Onpage Mode","Qrcode width on Onpage Mode"
"Message to show with qrcode on success page","Message to show with qrcode on success page""
"Qrcode width on info payments","Qrcode width on info payments"
"API Picpay Token","API Picpay Token"
"API Seller Token","API Seller Token"
"Order status: order creation","Order status: order creation"
"Status given to newly created orders before payment result confirmation via server notifications.","Status given to newly created orders before payment result confirmation via server notifications."
"Use custom form","Use custom form"
"Custom html form","Custom html form"
"Customer document attribute","Customer document attribute"
"If your store use a customer ID custom ttribute, select here.","If your store use a customer ID custom ttribute, select here."
"If your store use a custom telephone attribute, select here.","If your store use a custom telephone attribute, select here."
"Customer address attribute","Customer address attribute"
"Enable status order notification","Enable status order notification"
"Payment from applicable countries","Payment from applicable countries"
"Payment from specific countries","Payment from specific countries"
"Enable debug logging","Enable debug logging"
"Sort Order","Sort Order"
"In pixels. Just numbers.","In pixels. Just numbers."
"Set the sequence number of this payment method in the checkout. Payment methods with a higher sort order number will be displayed lower in the list.","Set the sequence number of this payment method in the checkout. Payment methods with a higher sort order number will be displayed lower in the list."
"Enable with want build a custom HTML form in Checkout","Enable with want build a custom HTML form in Checkout"
"Accept html. The extension has a default message on checkout.","Accept html. The extension has a default message on checkout."
